,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
79084,,,0.025,69.0,convMedGSIGMOID__Point.onnx,unsat,0.23,569.0,,eran,69.0 convMedGSIGMOID__Point.onnx 0.025,1,1,True
79382,,,0.025,69.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.665,2169.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.025,1,1,True
79383,,,0.03,69.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.661,2169.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.03,1,1,True
79387,,,0.04,69.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.661,2169.0,,eran,69.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.04,1,1,True
79391,,,0.004,69.0,ffnnSIGMOID__Point_6_500.onnx,unsat,0.485,969.0,,eran,69.0 ffnnSIGMOID__Point_6_500.onnx 0.004,1,1,True
80225,,,0.04,7.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,29.695,3507.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.04,1,1,True
80222,,,0.03,7.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,29.603,3507.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.03,1,1,True
80217,,,0.025,7.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,30.11,3507.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.025,1,1,True
80216,,,0.02,7.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,29.858,3507.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.02,1,1,True
80213,,,0.012,7.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,8.497,3507.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.012,1,1,True
80210,,,0.01,7.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,8.493,3507.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.01,1,1,True
80207,,,0.008,7.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,8.431,3507.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.008,1,1,True
80203,,,0.005,7.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,8.324,3507.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.005,1,1,True
80200,,,0.004,7.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,8.399,3507.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.004,1,1,True
79414,,,0.04,69.0,ffnnSIGMOID__Point_6_500.onnx,unsat,0.481,969.0,,eran,69.0 ffnnSIGMOID__Point_6_500.onnx 0.04,1,1,True
79410,,,0.03,69.0,ffnnSIGMOID__Point_6_500.onnx,unsat,0.477,969.0,,eran,69.0 ffnnSIGMOID__Point_6_500.onnx 0.03,1,1,True
79408,,,0.025,69.0,ffnnSIGMOID__Point_6_500.onnx,unsat,0.499,969.0,,eran,69.0 ffnnSIGMOID__Point_6_500.onnx 0.025,1,1,True
79404,,,0.02,69.0,ffnnSIGMOID__Point_6_500.onnx,unsat,0.47,969.0,,eran,69.0 ffnnSIGMOID__Point_6_500.onnx 0.02,1,1,True
79403,,,0.012,69.0,ffnnSIGMOID__Point_6_500.onnx,unsat,0.487,969.0,,eran,69.0 ffnnSIGMOID__Point_6_500.onnx 0.012,1,1,True
79400,,,0.01,69.0,ffnnSIGMOID__Point_6_500.onnx,unsat,0.462,969.0,,eran,69.0 ffnnSIGMOID__Point_6_500.onnx 0.01,1,1,True
79395,,,0.008,69.0,ffnnSIGMOID__Point_6_500.onnx,unsat,0.478,969.0,,eran,69.0 ffnnSIGMOID__Point_6_500.onnx 0.008,1,1,True
79392,,,0.005,69.0,ffnnSIGMOID__Point_6_500.onnx,unsat,0.481,969.0,,eran,69.0 ffnnSIGMOID__Point_6_500.onnx 0.005,1,1,True
79082,,,0.02,69.0,convMedGSIGMOID__Point.onnx,unsat,0.227,569.0,,eran,69.0 convMedGSIGMOID__Point.onnx 0.02,1,1,True
79079,,,0.012,69.0,convMedGSIGMOID__Point.onnx,unsat,0.231,569.0,,eran,69.0 convMedGSIGMOID__Point.onnx 0.012,1,1,True
79075,,,0.01,69.0,convMedGSIGMOID__Point.onnx,unsat,0.234,569.0,,eran,69.0 convMedGSIGMOID__Point.onnx 0.01,1,1,True
79011,,,0.004,69.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,0.239,3569.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.004,1,1,True
78222,,,0.03,68.0,ffnnSIGMOID__Point_6_500.onnx,unsat,59.43,968.0,,eran,68.0 ffnnSIGMOID__Point_6_500.onnx 0.03,1,1,True
78220,,,0.025,68.0,ffnnSIGMOID__Point_6_500.onnx,unsat,59.471,968.0,,eran,68.0 ffnnSIGMOID__Point_6_500.onnx 0.025,1,1,True
78216,,,0.02,68.0,ffnnSIGMOID__Point_6_500.onnx,unsat,58.759,968.0,,eran,68.0 ffnnSIGMOID__Point_6_500.onnx 0.02,1,1,True
78215,,,0.012,68.0,ffnnSIGMOID__Point_6_500.onnx,unsat,59.45,968.0,,eran,68.0 ffnnSIGMOID__Point_6_500.onnx 0.012,1,1,True
78212,,,0.01,68.0,ffnnSIGMOID__Point_6_500.onnx,unsat,59.745,968.0,,eran,68.0 ffnnSIGMOID__Point_6_500.onnx 0.01,1,1,True
78207,,,0.008,68.0,ffnnSIGMOID__Point_6_500.onnx,unsat,58.719,968.0,,eran,68.0 ffnnSIGMOID__Point_6_500.onnx 0.008,1,1,True
78205,,,0.005,68.0,ffnnSIGMOID__Point_6_500.onnx,unsat,59.298,968.0,,eran,68.0 ffnnSIGMOID__Point_6_500.onnx 0.005,1,1,True
78203,,,0.004,68.0,ffnnSIGMOID__Point_6_500.onnx,unsat,59.295,968.0,,eran,68.0 ffnnSIGMOID__Point_6_500.onnx 0.004,1,1,True
78198,,,0.04,68.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.295,2168.0,,eran,68.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.04,1,1,True
78197,,,0.03,68.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.293,2168.0,,eran,68.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.03,1,1,True
78194,,,0.025,68.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.295,2168.0,,eran,68.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.025,1,1,True
78189,,,0.02,68.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.295,2168.0,,eran,68.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.02,1,1,True
78186,,,0.012,68.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.295,2168.0,,eran,68.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.012,1,1,True
78185,,,0.01,68.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.301,2168.0,,eran,68.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.01,1,1,True
78181,,,0.008,68.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.291,2168.0,,eran,68.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.008,1,1,True
78178,,,0.005,68.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.294,2168.0,,eran,68.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.005,1,1,True
78174,,,0.004,68.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.281,2168.0,,eran,68.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.004,1,1,True
78227,,,0.04,68.0,ffnnSIGMOID__Point_6_500.onnx,unsat,59.036,968.0,,eran,68.0 ffnnSIGMOID__Point_6_500.onnx 0.04,1,1,True
79016,,,0.005,69.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,0.239,3569.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.005,1,1,True
79072,,,0.008,69.0,convMedGSIGMOID__Point.onnx,unsat,0.229,569.0,,eran,69.0 convMedGSIGMOID__Point.onnx 0.008,1,1,True
79017,,,0.008,69.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,0.234,3569.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.008,1,1,True
79069,,,0.005,69.0,convMedGSIGMOID__Point.onnx,unsat,0.229,569.0,,eran,69.0 convMedGSIGMOID__Point.onnx 0.005,1,1,True
79065,,,0.004,69.0,convMedGSIGMOID__Point.onnx,unsat,0.227,569.0,,eran,69.0 convMedGSIGMOID__Point.onnx 0.004,1,1,True
79062,,,0.04,69.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.229,469.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.04,1,1,True
79060,,,0.03,69.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.234,469.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.03,1,1,True
79056,,,0.025,69.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.225,469.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.025,1,1,True
79053,,,0.02,69.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.236,469.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.02,1,1,True
79050,,,0.012,69.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.226,469.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.012,1,1,True
79047,,,0.01,69.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.226,469.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.01,1,1,True
79046,,,0.008,69.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.226,469.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.008,1,1,True
79043,,,0.005,69.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.222,469.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.005,1,1,True
79038,,,0.004,69.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.224,469.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.004,1,1,True
79035,,,0.04,69.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,0.233,3569.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.04,1,1,True
79033,,,0.03,69.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,0.243,3569.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.03,1,1,True
79029,,,0.025,69.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,0.238,3569.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.025,1,1,True
79028,,,0.02,69.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,0.244,3569.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.02,1,1,True
79024,,,0.012,69.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,0.234,3569.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.012,1,1,True
79021,,,0.01,69.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,0.238,3569.0,,eran,69.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.01,1,1,True
80228,,,0.004,7.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,8.357,407.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.004,1,1,True
80230,,,0.005,7.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,8.456,407.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.005,1,1,True
80233,,,0.008,7.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,8.32,407.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.008,1,1,True
81444,,,0.005,70.0,convMedGSIGMOID__Point.onnx,unsat,30.032,570.0,,eran,70.0 convMedGSIGMOID__Point.onnx 0.005,1,1,True
81440,,,0.04,70.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.213,470.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.04,1,1,True
81437,,,0.03,70.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.308,470.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.03,1,1,True
81433,,,0.025,70.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.207,470.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.025,1,1,True
81431,,,0.02,70.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.21,470.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.02,1,1,True
81426,,,0.012,70.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.204,470.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.012,1,1,True
81423,,,0.01,70.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.22,470.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.01,1,1,True
81420,,,0.008,70.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.204,470.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.008,1,1,True
81419,,,0.005,70.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.199,470.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.005,1,1,True
81416,,,0.004,70.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,0.204,470.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.004,1,1,True
81411,,,0.04,70.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,sat,30.09,3570.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.04,1,1,True
81410,,,0.03,70.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,30.047,3570.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.03,1,1,True
81407,,,0.025,70.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,29.829,3570.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.025,1,1,True
81404,,,0.02,70.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,30.37,3570.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.02,1,1,True
81400,,,0.012,70.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,30.59,3570.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.012,1,1,True
81396,,,0.01,70.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,30.169,3570.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.01,1,1,True
81395,,,0.008,70.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,29.599,3570.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.008,1,1,True
81390,,,0.005,70.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,29.949,3570.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.005,1,1,True
81443,,,0.004,70.0,convMedGSIGMOID__Point.onnx,unsat,29.829,570.0,,eran,70.0 convMedGSIGMOID__Point.onnx 0.004,1,1,True
81447,,,0.008,70.0,convMedGSIGMOID__Point.onnx,unsat,29.936,570.0,,eran,70.0 convMedGSIGMOID__Point.onnx 0.008,1,1,True
80603,,,0.04,7.0,ffnnSIGMOID__Point_6_500.onnx,unsat,0.356,907.0,,eran,7.0 ffnnSIGMOID__Point_6_500.onnx 0.04,1,1,True
81450,,,0.01,70.0,convMedGSIGMOID__Point.onnx,unsat,30.128,570.0,,eran,70.0 convMedGSIGMOID__Point.onnx 0.01,1,1,True
81744,,,0.008,70.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.344,2170.0,,eran,70.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.008,1,1,True
81741,,,0.005,70.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.348,2170.0,,eran,70.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.005,1,1,True
81738,,,0.004,70.0,ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx,unsat,0.337,2170.0,,eran,70.0 ffnnSIGMOID__PGDK_w_0.0313_6_500.onnx 0.004,1,1,True
81735,,,0.04,70.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.372,3370.0,,eran,70.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.04,1,1,True
81732,,,0.03,70.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.402,3370.0,,eran,70.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.03,1,1,True
81729,,,0.025,70.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.389,3370.0,,eran,70.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.025,1,1,True
81728,,,0.02,70.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.386,3370.0,,eran,70.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.02,1,1,True
81725,,,0.012,70.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.382,3370.0,,eran,70.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.012,1,1,True
81721,,,0.01,70.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.375,3370.0,,eran,70.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.01,1,1,True
81719,,,0.008,70.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.384,3370.0,,eran,70.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.008,1,1,True
81714,,,0.005,70.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.38,3370.0,,eran,70.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.005,1,1,True
81713,,,0.004,70.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.379,3370.0,,eran,70.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.004,1,1,True
81467,,,0.04,70.0,convMedGSIGMOID__Point.onnx,unsat,29.576,570.0,,eran,70.0 convMedGSIGMOID__Point.onnx 0.04,1,1,True
81463,,,0.03,70.0,convMedGSIGMOID__Point.onnx,unsat,29.608,570.0,,eran,70.0 convMedGSIGMOID__Point.onnx 0.03,1,1,True
81459,,,0.025,70.0,convMedGSIGMOID__Point.onnx,unsat,29.93,570.0,,eran,70.0 convMedGSIGMOID__Point.onnx 0.025,1,1,True
81457,,,0.02,70.0,convMedGSIGMOID__Point.onnx,unsat,29.369,570.0,,eran,70.0 convMedGSIGMOID__Point.onnx 0.02,1,1,True
81454,,,0.012,70.0,convMedGSIGMOID__Point.onnx,unsat,29.889,570.0,,eran,70.0 convMedGSIGMOID__Point.onnx 0.012,1,1,True
81388,,,0.004,70.0,convMedGSIGMOID__PGDK_w_0.0078.onnx,unsat,30.147,3570.0,,eran,70.0 convMedGSIGMOID__PGDK_w_0.0078.onnx 0.004,1,1,True
80599,,,0.03,7.0,ffnnSIGMOID__Point_6_500.onnx,unsat,0.354,907.0,,eran,7.0 ffnnSIGMOID__Point_6_500.onnx 0.03,1,1,True
80236,,,0.01,7.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,8.312,407.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.01,1,1,True
80535,,,0.012,7.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.326,3307.0,,eran,7.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.012,1,1,True
80531,,,0.008,7.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.328,3307.0,,eran,7.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.008,1,1,True
80528,,,0.005,7.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.323,3307.0,,eran,7.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.005,1,1,True
80523,,,0.004,7.0,ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx,unsat,0.32,3307.0,,eran,7.0 ffnnSIGMOID__PGDK_w_0.0078_6_500.onnx 0.004,1,1,True
80277,,,0.04,7.0,convMedGSIGMOID__Point.onnx,unsat,29.813,507.0,,eran,7.0 convMedGSIGMOID__Point.onnx 0.04,1,1,True
80276,,,0.03,7.0,convMedGSIGMOID__Point.onnx,unsat,29.977,507.0,,eran,7.0 convMedGSIGMOID__Point.onnx 0.03,1,1,True
80272,,,0.025,7.0,convMedGSIGMOID__Point.onnx,unsat,29.785,507.0,,eran,7.0 convMedGSIGMOID__Point.onnx 0.025,1,1,True
80270,,,0.02,7.0,convMedGSIGMOID__Point.onnx,unsat,29.726,507.0,,eran,7.0 convMedGSIGMOID__Point.onnx 0.02,1,1,True
80265,,,0.012,7.0,convMedGSIGMOID__Point.onnx,unsat,30.13,507.0,,eran,7.0 convMedGSIGMOID__Point.onnx 0.012,1,1,True
80262,,,0.01,7.0,convMedGSIGMOID__Point.onnx,unsat,8.468,507.0,,eran,7.0 convMedGSIGMOID__Point.onnx 0.01,1,1,True
80261,,,0.008,7.0,convMedGSIGMOID__Point.onnx,unsat,8.417,507.0,,eran,7.0 convMedGSIGMOID__Point.onnx 0.008,1,1,True
80256,,,0.005,7.0,convMedGSIGMOID__Point.onnx,unsat,8.542,507.0,,eran,7.0 convMedGSIGMOID__Point.onnx 0.005,1,1,True
80254,,,0.004,7.0,convMedGSIGMOID__Point.onnx,unsat,8.513,507.0,,eran,7.0 convMedGSIGMOID__Point.onnx 0.004,1,1,True
80251,,,0.04,7.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,29.534,407.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.04,1,1,True
80249,,,0.03,7.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,29.554,407.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.03,1,1,True
80245,,,0.025,7.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,29.878,407.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.025,1,1,True
80243,,,0.02,7.0,convMedGSIGMOID__PGDK_w_0.0313.onnx,unsat,29.861,407.0,,eran,7.0 convMedGSIGMOID__PGDK_w_0.0313.onnx 0.02,1,1,True
